File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF041YKU	bed narrowPeak	peaks and background as input for IDR	ENCSR304XUZ	ChIP-seq	UBERON:0008367	breast epithelium	tissue	Homo sapiens				CTCF-human	DNA					False	2016-10-25	ENCODE				1							ENCFF152VGP, ENCFF531FEB	6162798	ENCODE Processing Pipeline	95c7ae3bbbc4d9d94190649e99d2865d		https://www.encodeproject.org/files/ENCFF041YKU/@@download/ENCFF041YKU.bed.gz	hg19			released	moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF739DVS	bed narrowPeak	peaks and background as input for IDR	ENCSR304XUZ	ChIP-seq	UBERON:0008367	breast epithelium	tissue	Homo sapiens				CTCF-human	DNA					False	2016-10-25	ENCODE				1							ENCFF136XMZ, ENCFF516KHW	6159012	ENCODE Processing Pipeline	a49cced375273818f6336005300a5c56		https://www.encodeproject.org/files/ENCFF739DVS/@@download/ENCFF739DVS.bed.gz	GRCh38			released	moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF113XGW	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR304XUZ	ChIP-seq	UBERON:0008367	breast epithelium	tissue	Homo sapiens				CTCF-human	DNA					False	2016-10-25	ENCODE				1							ENCFF419RSJ, ENCFF739DVS	324248	ENCODE Processing Pipeline	0d61c26f2937f581283f125fea049c3e		https://www.encodeproject.org/files/ENCFF113XGW/@@download/ENCFF113XGW.bed.gz	GRCh38			released	moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF653SEN	bed narrowPeak	peaks and background as input for IDR	ENCSR146BGM	ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF238ZIF, ENCFF459EXC	6583367	ENCODE Processing Pipeline	e6d3b8bfece62828bf2dc8eacf717957		https://www.encodeproject.org/files/ENCFF653SEN/@@download/ENCFF653SEN.bed.gz	hg19			released	antibody characterized with exemption, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF638SAX	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR146BGM	ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF001TDO, ENCFF653SEN	714129	ENCODE Processing Pipeline	f9f379c3329384fa230f4f89104ebe5b		https://www.encodeproject.org/files/ENCFF638SAX/@@download/ENCFF638SAX.bed.gz	hg19			released	antibody characterized with exemption, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF621NXV	bed narrowPeak	peaks and background as input for IDR	ENCSR146BGM	ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF314JRE, ENCFF502XEU	6561849	ENCODE Processing Pipeline	1d14f4a0a8f964edec593cf2213fd877		https://www.encodeproject.org/files/ENCFF621NXV/@@download/ENCFF621NXV.bed.gz	GRCh38			released	antibody characterized with exemption, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF769PHB	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR146BGM	ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF419RSJ, ENCFF621NXV	710686	ENCODE Processing Pipeline	eeaddc956c23de86d4c28d0b5cfdb27f		https://www.encodeproject.org/files/ENCFF769PHB/@@download/ENCFF769PHB.bed.gz	GRCh38			released	antibody characterized with exemption, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF741BED	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR028YEV	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF001TDO, ENCFF399TIE	584548	ENCODE Processing Pipeline	c6396699b537b24c35b1291ff4277b2e		https://www.encodeproject.org/files/ENCFF741BED/@@download/ENCFF741BED.bed.gz	hg19			released	antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF399TIE	bed narrowPeak	peaks and background as input for IDR	ENCSR028YEV	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF230HKK, ENCFF569UCD	7083930	ENCODE Processing Pipeline	c902b02fece46d7fe330c058e041f453		https://www.encodeproject.org/files/ENCFF399TIE/@@download/ENCFF399TIE.bed.gz	hg19			released	antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF234VTM	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR028YEV	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF419RSJ, ENCFF881FZQ	588747	ENCODE Processing Pipeline	3c80efe4c52d7680ca71af8bb4be9017		https://www.encodeproject.org/files/ENCFF234VTM/@@download/ENCFF234VTM.bed.gz	GRCh38			released	antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF881FZQ	bed narrowPeak	peaks and background as input for IDR	ENCSR028YEV	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF811KEY, ENCFF925EOE	7075138	ENCODE Processing Pipeline	2c6328caaa46d732afc8aea9e66dd939		https://www.encodeproject.org/files/ENCFF881FZQ/@@download/ENCFF881FZQ.bed.gz	GRCh38			released	antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF657HTU	bed narrowPeak	peaks and background as input for IDR	ENCSR790VEV	ChIP-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF016BGY, ENCFF779DOP	5033900	ENCODE Processing Pipeline	b55057f4521fac98c567c3be33165252		https://www.encodeproject.org/files/ENCFF657HTU/@@download/ENCFF657HTU.bed.gz	hg19			released	moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking, control low read depth			
ENCFF051USR	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR790VEV	ChIP-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF001TDO, ENCFF657HTU	183	ENCODE Processing Pipeline	d1a604ce6f424996f98e49114e79d3a7		https://www.encodeproject.org/files/ENCFF051USR/@@download/ENCFF051USR.bed.gz	hg19			released	moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking, control low read depth			
ENCFF043PIW	bed narrowPeak	peaks and background as input for IDR	ENCSR790VEV	ChIP-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF078USH, ENCFF354PAM	5034487	ENCODE Processing Pipeline	7ca47959700b832bd0a26f2d19d85371		https://www.encodeproject.org/files/ENCFF043PIW/@@download/ENCFF043PIW.bed.gz	GRCh38			released	moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking, control low read depth			
ENCFF719VDM	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR790VEV	ChIP-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF043PIW, ENCFF419RSJ	504	ENCODE Processing Pipeline	9a3e6c87c2e24bd5e1077abacff82e17		https://www.encodeproject.org/files/ENCFF719VDM/@@download/ENCFF719VDM.bed.gz	GRCh38			released	moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking, control low read depth			
ENCFF316LSD	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR833FWC	ChIP-seq	UBERON:0001157	transverse colon	tissue	Homo sapiens				CTCF-human	DNA					False	2016-10-25	ENCODE				1							ENCFF001TDO, ENCFF999RRH	676194	ENCODE Processing Pipeline	f2be4eb4ae95f46848a4e2084891e1bf		https://www.encodeproject.org/files/ENCFF316LSD/@@download/ENCFF316LSD.bed.gz	hg19			released	moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF999RRH	bed narrowPeak	peaks and background as input for IDR	ENCSR833FWC	ChIP-seq	UBERON:0001157	transverse colon	tissue	Homo sapiens				CTCF-human	DNA					False	2016-10-25	ENCODE				1							ENCFF347PVY, ENCFF791LLR	6620179	ENCODE Processing Pipeline	038ec91b4e74e9a4e0334923115eabbb		https://www.encodeproject.org/files/ENCFF999RRH/@@download/ENCFF999RRH.bed.gz	hg19			released	moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF306LCT	bed narrowPeak	peaks and background as input for IDR	ENCSR833FWC	ChIP-seq	UBERON:0001157	transverse colon	tissue	Homo sapiens				CTCF-human	DNA					False	2016-10-25	ENCODE				1							ENCFF048YPV, ENCFF512QNP	6639477	ENCODE Processing Pipeline	d2b5151160070b56cb176ba5376af557		https://www.encodeproject.org/files/ENCFF306LCT/@@download/ENCFF306LCT.bed.gz	GRCh38			released	moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF907KEJ	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR833FWC	ChIP-seq	UBERON:0001157	transverse colon	tissue	Homo sapiens				CTCF-human	DNA					False	2016-10-25	ENCODE				1							ENCFF306LCT, ENCFF419RSJ	674345	ENCODE Processing Pipeline	e6b5bdd7d25b283393e4bb927cbcdac3		https://www.encodeproject.org/files/ENCFF907KEJ/@@download/ENCFF907KEJ.bed.gz	GRCh38			released	moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF703CWY	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR618QYE	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF001TDO, ENCFF092GNG	48052	ENCODE Processing Pipeline	5fa4caad711757638202faf1e0be22b2		https://www.encodeproject.org/files/ENCFF703CWY/@@download/ENCFF703CWY.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF092GNG	bed narrowPeak	peaks and background as input for IDR	ENCSR618QYE	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF308BIP, ENCFF872MDZ	5203560	ENCODE Processing Pipeline	7b59c16851efa82e88aa0df8ed64ecdf		https://www.encodeproject.org/files/ENCFF092GNG/@@download/ENCFF092GNG.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF882LTN	bed narrowPeak	peaks and background as input for IDR	ENCSR618QYE	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF607RXM, ENCFF909IAW	5213263	ENCODE Processing Pipeline	5d7fa734e5207ab4d43ce77e3bb6e993		https://www.encodeproject.org/files/ENCFF882LTN/@@download/ENCFF882LTN.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF481CNC	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR618QYE	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF419RSJ, ENCFF882LTN	48638	ENCODE Processing Pipeline	c9922804b819d6894cd9907cf0d1e9d1		https://www.encodeproject.org/files/ENCFF481CNC/@@download/ENCFF481CNC.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF353AUC	bed narrowPeak	peaks and background as input for IDR	ENCSR206ETG	ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF344XAW, ENCFF724CAN	6674554	ENCODE Processing Pipeline	c2be45d6dadff495e47399b08ae80227		https://www.encodeproject.org/files/ENCFF353AUC/@@download/ENCFF353AUC.bed.gz	hg19			released	antibody characterized with exemption, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF541ERF	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR206ETG	ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF001TDO, ENCFF353AUC	704047	ENCODE Processing Pipeline	6caccae3005ceb09a1efa5cecfc4101a		https://www.encodeproject.org/files/ENCFF541ERF/@@download/ENCFF541ERF.bed.gz	hg19			released	antibody characterized with exemption, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF199TXU	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR206ETG	ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF419RSJ, ENCFF457PBA	704439	ENCODE Processing Pipeline	cf2b300073fe1ca60692d995f7834d52		https://www.encodeproject.org/files/ENCFF199TXU/@@download/ENCFF199TXU.bed.gz	GRCh38			released	antibody characterized with exemption, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF457PBA	bed narrowPeak	peaks and background as input for IDR	ENCSR206ETG	ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF022LUZ, ENCFF267XIT	6664807	ENCODE Processing Pipeline	c749abda340014dd568867953a254c48		https://www.encodeproject.org/files/ENCFF457PBA/@@download/ENCFF457PBA.bed.gz	GRCh38			released	antibody characterized with exemption, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF973ISL	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR762PCG	ChIP-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF001TDO, ENCFF927QZZ	13547	ENCODE Processing Pipeline	f7113629efdfe6fefcc56716b1a66154		https://www.encodeproject.org/files/ENCFF973ISL/@@download/ENCFF973ISL.bed.gz	hg19			released	low read depth, moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking, control low read depth			
ENCFF927QZZ	bed narrowPeak	peaks and background as input for IDR	ENCSR762PCG	ChIP-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF329KGR, ENCFF982YZF	4171062	ENCODE Processing Pipeline	e6b6602f40460f8ff484ddd7ba20c247		https://www.encodeproject.org/files/ENCFF927QZZ/@@download/ENCFF927QZZ.bed.gz	hg19			released	low read depth, moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking, control low read depth			
ENCFF208JPL	bed narrowPeak	peaks and background as input for IDR	ENCSR762PCG	ChIP-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF667KCG, ENCFF997ZMP	4169408	ENCODE Processing Pipeline	aee5e716384b904e91adf7f2c83bda8e		https://www.encodeproject.org/files/ENCFF208JPL/@@download/ENCFF208JPL.bed.gz	GRCh38			released	low read depth, moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking, control low read depth			
ENCFF688KFE	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR762PCG	ChIP-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF208JPL, ENCFF419RSJ	13138	ENCODE Processing Pipeline	fdf00ab7e2e3beb37b9880e597c519d3		https://www.encodeproject.org/files/ENCFF688KFE/@@download/ENCFF688KFE.bed.gz	GRCh38			released	low read depth, moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking, control low read depth			
ENCFF039SAY	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR173AIR	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF001TDO, ENCFF468WHP	575816	ENCODE Processing Pipeline	ae8bb1696f78bbd6fb772b79351c5c11		https://www.encodeproject.org/files/ENCFF039SAY/@@download/ENCFF039SAY.bed.gz	hg19			released	antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF468WHP	bed narrowPeak	peaks and background as input for IDR	ENCSR173AIR	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF027EKQ, ENCFF779SGY	6923657	ENCODE Processing Pipeline	c95d32d0f84b0fa3da94d6a881bbbd2c		https://www.encodeproject.org/files/ENCFF468WHP/@@download/ENCFF468WHP.bed.gz	hg19			released	antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF933XOI	bed narrowPeak	peaks and background as input for IDR	ENCSR173AIR	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF162JEL, ENCFF552ZFG	6899273	ENCODE Processing Pipeline	ed7543db68061087a29db1d1714bb814		https://www.encodeproject.org/files/ENCFF933XOI/@@download/ENCFF933XOI.bed.gz	GRCh38			released	antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF825XAC	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR173AIR	ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF419RSJ, ENCFF933XOI	563784	ENCODE Processing Pipeline	ca8ed9477ebf5573ac20c1823e2010a3		https://www.encodeproject.org/files/ENCFF825XAC/@@download/ENCFF825XAC.bed.gz	GRCh38			released	antibody characterized with exemption, mild to moderate bottlenecking			
ENCFF251IXD	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR769WKR	ChIP-seq	UBERON:0001157	transverse colon	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-08	ENCODE				1							ENCFF001TDO, ENCFF618NMD	557584	ENCODE Processing Pipeline	e9d98a6b9e9199c4a09277e57142c981		https://www.encodeproject.org/files/ENCFF251IXD/@@download/ENCFF251IXD.bed.gz	hg19			released	low read depth, antibody characterized with exemption, control low read depth			
ENCFF618NMD	bed narrowPeak	peaks and background as input for IDR	ENCSR769WKR	ChIP-seq	UBERON:0001157	transverse colon	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-08	ENCODE				1							ENCFF267XAF, ENCFF972JKW	5609470	ENCODE Processing Pipeline	749bb05ad9a11d370a9568a6d71ca03a		https://www.encodeproject.org/files/ENCFF618NMD/@@download/ENCFF618NMD.bed.gz	hg19			released	low read depth, antibody characterized with exemption, control low read depth			
ENCFF616QVQ	bed narrowPeak	peaks and background as input for IDR	ENCSR769WKR	ChIP-seq	UBERON:0001157	transverse colon	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-08	ENCODE				1							ENCFF046ZDT, ENCFF418LUT	5695864	ENCODE Processing Pipeline	a38546da6be34d5791809e2ec382db5a		https://www.encodeproject.org/files/ENCFF616QVQ/@@download/ENCFF616QVQ.bed.gz	GRCh38			released	low read depth, antibody characterized with exemption, control low read depth			
ENCFF607VAP	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR769WKR	ChIP-seq	UBERON:0001157	transverse colon	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-08	ENCODE				1							ENCFF419RSJ, ENCFF616QVQ	590648	ENCODE Processing Pipeline	176f9881f51a368d8940388b458249fe		https://www.encodeproject.org/files/ENCFF607VAP/@@download/ENCFF607VAP.bed.gz	GRCh38			released	low read depth, antibody characterized with exemption, control low read depth			
ENCFF358WEO	bed narrowPeak	peaks and background as input for IDR	ENCSR234HEM	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF224VJS, ENCFF452PDJ	5904460	ENCODE Processing Pipeline	8fedf1fed21537f0ab034742414c07aa		https://www.encodeproject.org/files/ENCFF358WEO/@@download/ENCFF358WEO.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF459AHK	bed narrowPeak	pseudoreplicated idr thresholded peaks	ENCSR234HEM	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens				CTCF-human	DNA					False	2016-07-11	ENCODE				1							ENCFF001TDO, ENCFF358WEO	360600	ENCODE Processing Pipeline	b051220424422f92963d3a5e003ec8b6		https://www.encodeproject.org/files/ENCFF459AHK/@@download/ENCFF459AHK.bed.gz	hg19			released	antibody characterized with exemption			
